serial	time	shard	owner_name	object_name	region_name	region_corner_x	region_corner_Y	local_position_x	local_position_y	tripid	severity	eventtype	msg	auxval
0	1521350914	Production	animats Resident	Double region crosser 1.03	Neumoegen	257280	260096	8.88708	53.5186	e065cf9f1441d2e1b664c904f57505c256e97196	1	STARTUP	animats Resident/Joe Magarac	0
1	1521350915	Production	animats Resident	Double region crosser 1.03	Neumoegen	257280	260096	8.88803	53.5193	e065cf9f1441d2e1b664c904f57505c256e97196	1	SITTER	on prim #1 :animats Resident distance to seat	0.737693
2	1521350915	Production	animats Resident	Double region crosser 1.03	Neumoegen	257280	260096	8.85515	53.6037	e065cf9f1441d2e1b664c904f57505c256e97196	1	RIDERCOUNT		1
3	1521350915	Production	animats Resident	Double region crosser 1.03	Neumoegen	257280	260096	8.79054	53.7558	e065cf9f1441d2e1b664c904f57505c256e97196	0	PERMS	Got permissions	0
4	1521350938	Production	animats Resident	Double region crosser 1.03	Neumoegen	257280	260096	7.34575	251.878	e065cf9f1441d2e1b664c904f57505c256e97196	1	SLOW	Slowing for double region cross to	17.4883
5	1521350938	Production	animats Resident	Double region crosser 1.03	Neumoegen	257280	260096	6.82087	252.682	e065cf9f1441d2e1b664c904f57505c256e97196	1	SLOW	Slowing for double region cross to	17.4301
6	1521350939	Production	animats Resident	Double region crosser 1.03	Imperial	257280	260352	3.40924	1.82151	e065cf9f1441d2e1b664c904f57505c256e97196	1	CROSSSPEED		16.3002
7	1521350939	Production	animats Resident	Double region crosser 1.03	Imperial	257280	260352	3.40924	1.82151	e065cf9f1441d2e1b664c904f57505c256e97196	1	CROSSEND	Region crossing complete in	0.096615
8	1521350942	Production	animats Resident	Double region crosser 1.03	Oslar	257024	260352	254.689	8.6467	e065cf9f1441d2e1b664c904f57505c256e97196	1	CROSSSPEED		9.21563
9	1521350942	Production	animats Resident	Double region crosser 1.03	Oslar	257024	260352	254.689	8.6467	e065cf9f1441d2e1b664c904f57505c256e97196	1	CROSSEND	Region crossing complete in	0.066132
10	1521350957	Production	animats Resident	Double region crosser 1.03	Oslar	257024	260352	10.1903	253.486	e065cf9f1441d2e1b664c904f57505c256e97196	1	SLOW	Slowing for double region cross to	14.2433
11	1521350957	Production	animats Resident	Double region crosser 1.03	Oslar	257024	260352	8.76553	254.343	e065cf9f1441d2e1b664c904f57505c256e97196	1	SLOW	Slowing for double region cross to	14.2159
12	1521350959	Production	animats Resident	Double region crosser 1.03	Achemon	257024	260608	3.73359	1.53983	e065cf9f1441d2e1b664c904f57505c256e97196	1	CROSSSPEED		11.9711
13	1521350959	Production	animats Resident	Double region crosser 1.03	Achemon	257024	260608	3.26691	1.8489	e065cf9f1441d2e1b664c904f57505c256e97196	1	CROSSEND	Region crossing complete in	0.066883
14	1521350961	Production	animats Resident	Double region crosser 1.03	Vine	256768	260608	254.148	5.2587	e065cf9f1441d2e1b664c904f57505c256e97196	1	CROSSSPEED		13.4885
15	1521350961	Production	animats Resident	Double region crosser 1.03	Vine	256768	260608	253.903	5.42039	e065cf9f1441d2e1b664c904f57505c256e97196	1	CROSSEND	Region crossing complete in	0.06702
16	1521350975	Production	animats Resident	Double region crosser 1.03	Minoa	256512	260608	252.03	152.457	e065cf9f1441d2e1b664c904f57505c256e97196	1	CROSSSPEED		20.9317
